연번,지역,주력산업
1,서울특별시,중소벤처 지역특화 업종이 존재하지 않습니다
2,부산광역시,"초정밀 소재부품, 저온고압 에너지저장 공급시스템, 실버케어테크 "
3,대구광역시,"전기·자율 모빌리티부품, 기계요소 소재부품, 디지털의료기기"
4,인천광역시,중소벤처 지역특화 업종이 존재하지 않습니다.
5,광주광역시,"스마트홈 부품, 모빌리티 의장·전장부품, 생체의료 소재·부품"
6,대전광역시,"나노반도체, 물류·국방 서비스 로봇, 정밀의료 바이오헬스"
7,울산광역시,"전기 자동차부품, 가스연료 선박기자재, 기능성 화학소재"
8,세종특별자치시,"지능형 모빌리티 부품, 기능성 바이오 소재"
9,경기도,중소벤처 지역특화 업종이 존재하지 않습니다.
10,강원특별자치도,"천연물 바이오소재, 세라믹원료소재, 디지털 헬스케어 "
11,충청북도,"첨단반도체, 융합바이오, 친환경 모빌리티부품 "
12,충청남도,"디스플레이 부품·장비, 탄소저감 자동차부품, 고기능성 그린바이오"
13,전북특별자치도,"농생명 바이오, 특수목적용 지능형 기계부품, 탄소융복합소재"
14,전라남도,"환경에너지 소재부품, 친환경에너지 설비기자재, 자연유래 헬스케어"
15,경상북도,"첨단 디지털부품, 신소재부품가공, 라이프케어소재"
16,경상남도,"첨단 정밀기계, 첨단 항공부품, 항노화메디컬 "
17,제주특별자치도,"지능형 관광서비스, 청정바이오, 그린에너지 솔루션 "
